nume_actiune,timestamp
loadFromDatabase,2026-05-13T21:34:10.663029
loadSenzoriFromDatabase,2026-05-13T21:34:10.6690302
loadDevicesFromDatabase,2026-05-13T21:34:10.6700321
loadReguliFromDatabase,2026-05-13T21:34:10.6720284
loadRapoarteFromDatabase,2026-05-13T21:34:10.6740294
createHouse,2026-05-13T21:34:44.6989185
loadFromDatabase,2026-05-13T22:50:16.6859558
loadDevicesFromDatabase,2026-05-13T22:50:16.6904428
loadSenzoriFromDatabase,2026-05-13T22:50:16.6944173
loadReguliFromDatabase,2026-05-13T22:50:16.6954177
loadRapoarteFromDatabase,2026-05-13T22:50:16.6984343
createHouse,2026-05-13T22:50:50.7041066
addRoom,2026-05-13T22:51:13.4824546
addRoom,2026-05-13T22:51:24.7815787
addRoom,2026-05-13T22:51:39.8295868
addRoom,2026-05-13T22:53:47.7541285
addDevice,2026-05-13T22:54:17.6126043
turnOnDevice,2026-05-13T22:54:22.4087533
addDevice,2026-05-13T22:54:42.8192979
turnOnDevice,2026-05-13T22:54:46.1949553
addDevice,2026-05-13T22:55:18.8158348
addDevice,2026-05-13T22:55:41.5582181
turnOnDevice,2026-05-13T22:55:44.2457637
turnOnDevice,2026-05-13T22:55:46.3554628
addSenzor,2026-05-13T22:56:07.1712267
addSenzor,2026-05-13T22:56:43.8220391
readSenzor,2026-05-13T22:56:52.0610796
updateSenzorValue,2026-05-13T22:57:04.9809367
simulateSenzorValue,2026-05-13T22:57:04.9819392
calculateConsum,2026-05-13T22:57:17.7444416
calculateConsum,2026-05-13T22:57:19.9648521
calculateConsum,2026-05-13T22:57:21.4651842
generateRaportEnergie,2026-05-13T22:57:21.4789515
calculateConsum,2026-05-13T22:57:26.5850596
calculateConsum,2026-05-13T22:57:28.7578518
generateRaportEnergie,2026-05-13T22:57:28.7644668
createRule,2026-05-13T22:57:42.0007463
activareRule,2026-05-13T22:57:45.9664484
executeRules,2026-05-13T22:57:47.8913111
loadFromDatabase,2026-06-10T12:58:02.7246567
loadDevicesFromDatabase,2026-06-10T12:58:02.7302491
loadSenzoriFromDatabase,2026-06-10T12:58:02.7342395
loadReguliFromDatabase,2026-06-10T12:58:02.7446754
loadRapoarteFromDatabase,2026-06-10T12:58:02.7481737
createHouse,2026-06-10T12:58:43.740832
createHouse,2026-06-10T12:59:26.0823488
addRoom,2026-06-10T12:59:59.9380302
addRoom,2026-06-10T13:00:45.0301831
removeRoom,2026-06-10T13:01:03.4990403
addDevice,2026-06-10T13:01:22.5368852
addDevice,2026-06-10T13:01:30.0248718
addSenzor,2026-06-10T13:03:12.516735
updateSenzorValue,2026-06-10T13:03:31.6656973
simulateSenzorValue,2026-06-10T13:03:31.6682684
calculateConsum,2026-06-10T13:03:46.6067871
calculateConsum,2026-06-10T13:03:47.9858707
turnOnDevice,2026-06-10T13:03:56.7447859
turnOnDevice,2026-06-10T13:04:00.3435747
calculateConsum,2026-06-10T13:04:05.0049941
calculateConsum,2026-06-10T13:04:35.1278207
generateRaportEnergie,2026-06-10T13:04:35.1418763
addRoom,2026-06-10T13:07:54.7148672
moveDevice,2026-06-10T13:08:10.6732655
calculateConsum,2026-06-10T13:08:44.3641116
calculateConsum,2026-06-10T13:08:45.6370336
calculateConsum,2026-06-10T13:08:48.1858139
calculateConsum,2026-06-10T13:08:50.2031804
turnOffDevice,2026-06-10T13:08:57.6357933
turnOnDevice,2026-06-10T13:08:59.8108119
calculateConsum,2026-06-10T13:09:05.3036131
calculateConsum,2026-06-10T13:09:07.5459035
